id,title,content
162396,The Big Swap,Drama Mark_Adams Mark_Caven Allison_Egan Niall_JohnsonEnglish british drama ellen sorcha brook jack antony edridge recall time traded partner remark set partner swapping party motion among four couple long night journey sex progress various fear anxiety surface shown montreal 1997 world film festival 1997 san sebastian film festival
48382,"The Book of Mormon Movie, Volume 1: The Journey",Adventure Family Noah_Danby Bryce_Chamberlain Mark_Gollaher Gary_Rogersstory lehi wife sariah four son laman lemuel sam nephi lehi leaf jerusalem prophesied unto people concerning destruction jerusalem sought life journey wilderness family sends nephi brother back jerusalem brass plate family ishmael son daughter lehi marry son daughter ishmael take family continue wilderness ishmael dy wilderness come sea nephi brother rebel confounds build ship cross sea promised land america lehi dy promised land nephi brother rebel nephi departs wildernessMormon_Movies 
47534,Fighting Tommy Riley,Action Adventure Drama J.P._Davis Eddie_Jones Christina_Chambers Eddie_O'FlahertyEnglish aging trainer young fighter need second chance team overcome demon past chase dream future
241259,The Looking Glass,Adventure Family Fantasy Mia_Wasikowska Johnny_Depp Anne_Hathaway James_BobinEnglish alice kingsleigh return underland face new adventure saving mad hatterLegend3D Walt_Disney_Pictures Roth_Films 
324352,Anderson's Cross,Romance Comedy Drama Joanna_Cassidy Joyce_Guy Bill_Moseley Jerome_Elston_ScottEnglish nick anderson kevin daniel tracey green everything together best friend yet different neighbor adolescence finish thought sentence joy pain happiness tear using nick house member clubhouse escape world contentment yet inevitable intrusion others test stability way never imaginedIllumination_Pictures 
292525,Death Calls,Horror Suzi_Lorraine Tina_Krause Nathalie_Bryant Jim_HaggertyEnglish halloween elementary school teacher stalked mysterious caller meanwhile sexy dj roxy richards making scariest broadcast yet may realize scary thing going get old friend callYellow_Ape_Productions 
20653,Roadside Romeo,Animation Family Saif_Ali_Khan Kareena_Kapoor_Khan Javed_Jaffrey Jugal_HansrajHindi English Portuguese story romeo dude living life work mansion live chick party car driven around one day family favourite pet decided move left back abandoned mean street mumbai romeo faced situation never encounter four stray scare daylight soon smooth talk way heart make friend romeo find love encounter beautiful ravishing laila beautiful girl ever seen loses heart first sight finally encounter villain dreaded area charlie anna everyone scared hop adventure romeo win friendship love new life spite charlie anna gangWalt_Disney_Pictures Yash_Raj_Films 
67373,This Thing of Ours,Drama Action Thriller James_Caan Frank_Vincent Vincent_Pastore Danny_Provenzanousing internet global satellite group gangster pull biggest bank heist mafia history
378237,Amidst the Devil's Wings,Drama Action Crime Carlos_Guerrero David_Yuzuk Cristina_Figarola Daniel_ColumbieEnglish prequel 5th degreeDaniel_Columbie_Films_&_Productions 
325123,Teeth and Blood,Horror Action Glenn_Plummer Michelle_Van_Der_Water Danielle_Vega Al_FranklinEnglish beautiful diva murdered set horror director vincent augustine latest film chapel blood somewhere crime scene coroner van body mysteriously disappears meanwhile city supply donated blood dangerously depleted suspecting connection event detective mike hung sasha colfax go undercover studio investigate attempt crack case quickly turn desperate battle survival uncover age old war rival vampire coven threatens consume humanity final grisly assault teeth bloodRobstar_Entertainment_LLC 
41894,Blood Done Sign My Name,Drama Crime Natalie_Alyn_Lind Michael_Rooker Emily_Alyn_Lind Jeb_Stuartdrama based true story black vietnam era veteran allegedly murdered local white businessman later exonerated plot focus role local high school teacher civil unrest followed acquittal
17644,Barney's Great Adventure,Family Kyla_Pratt Trevor_Morgan George_Hearn Steve_GomerEnglish mom dad dump son cody daughter abby best friend marcella baby farm grandpa grandma purple dinosaur barney soon appears entertain kid large colorful egg deposited farm shooting star accidentally carted barney kid start chaseLyrick_Studios PolyGram_Filmed_Entertainment 
70687,The Sticky Fingers of Time,Science Fiction Drama Terumi_Matthews Nicole_Zaray Belinda_Becker Hilary_BrougherEnglish sci fi novelist 1950s brooklyn suddenly find transported 40 year future quickly learns isnt timefreak time may already
459488,"To Be Frank, Sinatra at 100",Documentary Tony_Oppedisano Frank_Sinatra Alice_Cooper Simon_Napier-BellEnglish life frank sinatra actor singer step along way led become iconEyeline_Entertainment 
561362,Rust,Thriller Drama Hermione_Corfield Jay_Paulson Sean_O'Bryan Jen_McGowanEnglish overachieving college senior make wrong turn road trip becomes life changing fight survival rural kentuckyLunacy_Productions IFC_Midnight 
